holding_company,unit_count_res,unit_count_bus
"TeleGuam Holdings, Inc.",29714,29714
"TeleGuam Holdings, Inc.",11360,12932
"TeleGuam Holdings, Inc.",40174,40174
"Telephone and Data Systems, Inc.",430082,430080
"Telephone and Data Systems, Inc.",371095,371095
"Telephone and Data Systems, Inc.",952980,952980
"Telephone and Data Systems, Inc.",12175446,3023527
Telephone Electronics Corporation,35777,8799
Telephone Electronics Corporation,40546,13250
Templeton Telephone Company,406,406
Terral Telephone Company,374,98
Terral Telephone Company,105,63
Terril Telephone Cooperative,378,378
"Thacker-Grigsby Telephone Company, Inc.",15368,15368
"Thacker-Grigsby Telephone Company, Inc.",22081,22081
The Champaign Telephone Company,6227,5864
The Champaign Telephone Company,3379,3243
The Champaign Telephone Company,160,160
Champlain Telephone Company,3109,3109
Champlain Telephone Company,2532,2532
The Conneaut Telephone Company,3902,3902
The Conneaut Telephone Company,6781,6781
The Hancock Telephone Company,1795,387
The Middleburgh Telephone Company,959,959
The Middleburgh Telephone Company,11620,11664
The Nebraska Central Telephone Co.,673,673
The Nebraska Central Telephone Co.,9463,9463
The North-Eastern Pennsylvania Telephone Company,41,41
The North-Eastern Pennsylvania Telephone Company,19350,19350
The Ottoville Mutual Telephone Company,1944,1944
Ridgeville Telephone Company,4060,4060
The Toledo Telephone Company,5088,5088
The Toledo Telephone Company,6,0
Three River Telco,1054,1054
Three River Telco,323,323
Three River Telco,5705,5705
Titonka Telephone Company,1095,1095
Tohono O'Odham Utility Authority,119,119
Tohono O'Odham Utility Authority,2714,2714
"Tonica Technologies, Inc.",48,48
"Tonica Technologies, Inc.",1183,1183
"Totah Communications, Inc.",2014,2014
"Totah Communications, Inc.",2972,2972
Town of Shrewsbury,13614,13614
Town of Shrewsbury,11068,11068
"Townes Telecommunications, Inc.",30410,30410
"Townes Telecommunications, Inc.",11753,11763
"Townes Telecommunications, Inc.",1966,1966
"Traceroad, Inc.",478,478
"Traceroad, Inc.",1341,1341
Trenton Telephone Co.,8610,8610
"BHT Holdings, Inc.",7407,7096
"BHT Holdings, Inc.",1864,1864
"BHT Holdings, Inc.",17002,16530
"BHT Holdings, Inc.",403,403
"BHT Holdings, Inc.",15503,15503
"Triangle Telephone Cooperative Assn., Inc.",35,35
"Triangle Telephone Cooperative Assn., Inc.",24100,24100
"Triangle Telephone Cooperative Assn., Inc.",22525,22525
"Tri-County Communications Cooperative, Inc.",10144,10144
"Tri-County Communications Cooperative, Inc.",7721,7721
"Future Fiber FinCo, LLC",34639,34639
"Future Fiber FinCo, LLC",7809,7809
"Future Fiber FinCo, LLC",638460,638460
"Future Fiber FinCo, LLC",4395,3990
"Future Fiber FinCo, LLC",3718,3640
"City of Muscatine, Iowa",12480,2198
"Tularosa Basin Telephone Company, Inc.",476,476
"Tularosa Basin Telephone Company, Inc.",10099,10099
"Tularosa Basin Telephone Company, Inc.",202,202
"Tularosa Basin Telephone Company, Inc.",8438,8438
"Tularosa Basin Telephone Company, Inc.",3076,3076
Twin Lakes Telephone Cooperative Corporation,71239,75070
U.S. TelePacific Holdings Corp.,0,65517
"UBTA-UBET Communications, Inc.",11342,11342
"UBTA-UBET Communications, Inc.",5389,5389
"UBTA-UBET Communications, Inc.",21798,21822
"UBTA-UBET Communications, Inc.",30696,0
"UBTA-UBET Communications, Inc.",4486,4486
Union River Telephone Company,4315,4315
Evertek Enterprises,2641,2641
Evertek Enterprises,3557,3557
Evertek Enterprises,25151,25151
Evertek Enterprises,29553,29553
"United Telephone Association, Inc.",1919,1919
"United Telephone Association, Inc.",6327,6341
"United Telephone Association, Inc.",68284,68284
"MTE Holdings, LLC",19314,2833
"MTE Holdings, LLC",96762,12163
"MTE Holdings, LLC",44336,9414
"UniTek, Inc.",1319,1319
"UniTek, Inc.",5518,5518
Unwired Ltd.,1493597,1493597
Upsala Cooperative Telephone Association,188,188
Upsala Cooperative Telephone Association,3180,3180
UTMA,14972,14972
"Valley Telecommunications Cooperative Association, Inc.",13122,13122
"Valley Telephone Cooperative, Inc. (AZ/NM)",10069,10069
"Valley Telephone Cooperative, Inc. (AZ/NM)",16633,16633
"Valley Telephone Cooperative, Inc. (AZ/NM)",6048,6048
"Valliant Telephone Company, Inc.",603,171
"Valliant Telephone Company, Inc.",1729,724
"Valliant Telephone Company, Inc.",7956,3187
"Windstream Holdings, Inc.",3038651,3038651
"Windstream Holdings, Inc.",101975,101975
"Windstream Holdings, Inc.",1562002,1562002
"Windstream Holdings, Inc.",82605,82605
"Windstream Holdings, Inc.",22040,22040
"Windstream Holdings, Inc.",31392,31392
"Van Buren Telephone Co., Inc.",3497,3497
Van Horne Cooperative Telephone Company,516,516
"Varcomm Holdings, Inc.",1383,1383
"Varcomm Holdings, Inc.",285,285
"Varcomm Holdings, Inc.",26258,26258
Vaughnsville Telephone Company,402,402
Vaughnsville Telephone Company,5054,5054
Vaughnsville Telephone Company,3819,3819
"Venture Communications Cooperative, Inc.",22435,22435
Venus Telephone Corporation,1534,615
Verizon Communications Inc.,15204625,15204625
Verizon Communications Inc.,41672056,36441844
"Vermont Telephone Company, Inc.",68,68
"Vermont Telephone Company, Inc.",20118,20247
"Vernon Telephone Cooperative, Inc.",17475,17475
Viola Holding Company,1420,1420
Viola Holding Company,123,123
Volcano Communications Company,6213,949
Volcano Communications Company,1744,297
Volcano Communications Company,5585,984
Wabash Mutual Telephone Company,281,281
Wabash Mutual Telephone Company,13701,13701
Wabash Mutual Telephone Company,27611,27611
Wabash Mutual Telephone Company,17939,17939
"Wabash Telephone Cooperative, Inc.",36657,36657
"Wamego Telephone Company, Inc.",24548,24548
"Wamego Telephone Company, Inc.",2015,2015
Washington County Rural Telephone Cooperative,866,866
Washington County Rural Telephone Cooperative,4451,4451
Wave Wireless LLC,0,3261
Wave Wireless LLC,13921,13921
Webster-Calhoun Cooperative Telephone Association,9356,9356
Wellman Cooperative Telephone Association,23,23
Wellman Cooperative Telephone Association,2401,2401
"West Carolina Rural Telephone Cooperative, Inc.",116687,116687
West Central Telephone Assn.,8054,8054
West Iowa Telephone Company,8222,8222
West Liberty Telephone Company,8486,8486
West Liberty Telephone Company,6748,6748
West Liberty Telephone Company,27719,27719
West River Telecommunications Cooperative,22668,22668
West Texas Rural Telephone Cooperative Inc.,106,106
West Texas Rural Telephone Cooperative Inc.,14208,14208
"West Wisconsin Telcom Cooperative, Inc.",142,142
"West Wisconsin Telcom Cooperative, Inc.",351,351
"West Wisconsin Telcom Cooperative, Inc.",14767,14767
"Westelcom Network, Inc.",9766,3716
Western Iowa Telephone Association,5541,5541
Wahkiakum West Inc.,2884,442
Wahkiakum West Inc.,113,7
"Wes-Tex Telephone Cooperative, Inc.",7415,7415
"Wes-Tex Telephone Cooperative, Inc.",20188,20188
"Abound Ventures, Inc.",6243,244
"Abound Ventures, Inc.",8052,788
"WideOpenWest Finance, LLC",5218,1420
"WideOpenWest Finance, LLC",2118877,418915
"WideOpenWest Finance, LLC",150065,25739
Wiggins Telephone Association,3922,3922
"Wikstrom Telephone Company, Inc.",306,306
"Wikstrom Telephone Company, Inc.",12624,12624
"Wikstrom Telephone Company, Inc.",3844,3844
"Dycom Holding, Inc.",12972,12972
Wilkes Telephone Membership Corporation,19942,19942
Wilkes Telephone Membership Corporation,872,872
Wilkes Telephone Membership Corporation,77444,77444
Wilkes Telephone Membership Corporation,93165,93165
Wilkes Telephone Membership Corporation,118984,118984
Wilkes Telephone Membership Corporation,2255,2255
Willard Telephone Company,106,106
WinDBreak Cable,3086,3086
Winnebago Cooperative Telecom Association,692,692
Winnebago Cooperative Telecom Association,21182,21182
"Wired or Wireless, Inc.",1723,17
"Wired or Wireless, Inc.",301911,227238
"Woodhull Communications, Inc.",9,9
"Woodhull Communications, Inc.",1991,1991
Woodstock Telephone Company,6227,6227
Woodstock Telephone Company,7089,7089
Woolstock Mutual Telephone Association,286,286
Woolstock Mutual Telephone Association,3821,3821
Wyoming Mutual Telephone Company,982,982
"XIT Rural Telephone Cooperative, Inc.",8875,8875
"XIT Rural Telephone Cooperative, Inc.",16,16
Yadkin Valley Telephone Membership Corporation,47189,47189
Yadkin Valley Telephone Membership Corporation,56956,56956
Granite State Communications,28,28
Granite State Communications,11106,11106
"Yelcot Holding Group, Inc.",8922,8922
"Yelcot Holding Group, Inc.",5334,5334
"Yelcot Holding Group, Inc.",13390,13390
Yeoman Telephone Company,1346,1346
Yeoman Telephone Company,703,703
Yeoman Telephone Company,2615,2615
Yeoman Telephone Company,336,336
"Highland Telephone Cooperative, Inc. (KY & TN)",31834,31834
Sharon Telephone Company (IA),4044,4044
Sully Telephone Association,896,193
Sully Telephone Association,103,2
"Cunningham Management, Inc.",8495,8495
"Cunningham Management, Inc.",10279,10303
"Access Cable Television, Inc.",3481,3481
"Access Cable Television, Inc.",3481,3481
Axiom Technologies,6171,1183
Cable America Missouri LLC,1467,0
PUD No. 1 of Chelan County,37790,37790
Fail Telecommunication Corporation,8555,1889
Fail Telecommunication Corporation,15168,3829
Filer Mutual Telephone Company,3506,3506
Filer Mutual Telephone Company,5,5
Filer Mutual Telephone Company,1738,1738
Fort Jennings Telephone Company,1382,1426
"Hopi Telecommunications, Inc.",1272,1272
"Hopi Telecommunications, Inc.",22,22
"Hopi Telecommunications, Inc.",254,254
"JAB Wireless, Inc.",100827,100827
"JAB Wireless, Inc.",4711330,4711330
"JAB Wireless, Inc.",864371,864371
LAT Inc.,12392,12392
LAT Inc.,1496,1496
LAT Inc.,44535,44451
"Defiance Holdings, LLC",4607,4607
"Defiance Holdings, LLC",218383,218383
"Defiance Holdings, LLC",168239,168239
"Reasnor Telephone Company, LLC",34,8
"Reasnor Telephone Company, LLC",267,43
"Royell Communications, Inc.",6714,6714
"Royell Communications, Inc.",11718,11718
"Royell Communications, Inc.",31586,31586
SPITwSPOTS Inc.,5639,5639
SPITwSPOTS Inc.,74984,74984
"Twin Valley Management, Inc.",4895,4895
"Twin Valley Management, Inc.",4512,4512
"Twin Valley Management, Inc.",34695,34695
"Twin Valley Management, Inc.",3729,3729
"Twin Valley Management, Inc.",12518,12518
"Twin Valley Management, Inc.",22077,22077
West River Cooperative Telephone Company,4495,4495
"WTC Communications, Inc.",2119,2119
"WTC Communications, Inc.",2134,2134
Pattersonville Telephone Company (OH),272,49
Pattersonville Telephone Company (OH),96,18
Mutual Telephone Company (KS),6822,6822
Mutual Telephone Company (KS),595,595
Mutual Telephone Company (KS),1658,1658
Mutual Telephone Company (KS),15822,15822
Buckland Telephone Co.,870,267
City of North Kansas,797,797
"CresComm WiFi, LLC",23,23
"CresComm WiFi, LLC",6421,6421
"CresComm WiFi, LLC",1287,1287
"DC Access, LLC",40941,40941
DTC Holding Company,1838,1838
DTC Holding Company,18725,18725
DTC Holding Company,5959,5959
"DoveTel Communications, LLC",13593,7482
"DoveTel Communications, LLC",0,399
Ellijay Telephone Company,5831,5831
Ellijay Telephone Company,43050,43050
Ellijay Telephone Company,20533,20533
"Hanson Communications, Inc.",25559,25558
"Hanson Communications, Inc.",17695,17695
"Hanson Communications, Inc.",29069,29164
Iowa Connect Inc.,4189,4189
"Moapa Valley Telecommunications, Inc.",110,110
"Moapa Valley Telecommunications, Inc.",3176,3176
"Moapa Valley Telecommunications, Inc.",3,3
"Neptuno Media, Inc.",5268,5268
"Neptuno Media, Inc.",729371,729371
"Neptuno Media, Inc.",233118,233118
"Neptuno Media, Inc.",155444,155444
"Remote Control, Inc.",197,42
Russellville Electric Plant Board,5987,5987
Socket Telecom LLC,85480,115037
Socket Telecom LLC,111079,127942
Wood County Telephone Company,3752,3752
Wood County Telephone Company,31200,32173
"TecInfo Communications, LLC",2997,2997
"TecInfo Communications, LLC",10461,10461
"United Electric Cooperative, Inc.",93824,94074
"United Electric Cooperative, Inc.",353,353
"Upward Access, LLC",4643,0
"WEHCO Video, Inc.",211958,211958
"WEHCO Video, Inc.",11254,11254
"Wharton County Electric Cooperative, Inc.",122,122
"Wharton County Electric Cooperative, Inc.",428,428
"Whiz to Coho, Inc.",46,46
"Whiz to Coho, Inc.",1022,1022
"Worldnet Telecommunications, Inc.",19,19
"Worldnet Telecommunications, Inc.",299,2057
"Worldnet Telecommunications, Inc.",172,172
Yellowstone Media Design,742,742
Allband Communications Cooperative,2581,2581
Allband Communications Cooperative,400,400
Bristol Tennessee Essential Services,33828,33828
"E-Vergent.com, LLC",4136,4136
"E-Vergent.com, LLC",88179,87069
"E-Vergent.com, LLC",28387,28340
Eastern Cable Corporation,152,152
Eastern Cable Corporation,2547,2547
LICT Corporation,46692,44117
LICT Corporation,35606,35606
LICT Corporation,74224,74758
LICT Corporation,14077,14046
LICT Corporation,125783,121913
LICT Corporation,4288,1843
Manning Municipal Communications and Television Systems Utility,1209,1209
"Ogden Communications, Inc.",561,561
Plumas-Sierra Rural Electric Cooperative,1992,1992
Plumas-Sierra Rural Electric Cooperative,5909,5909
Plumas-Sierra Rural Electric Cooperative,4907,4907
"Ralls Technologies, LLC",7942,7942
"Southeastern Services, Inc.",279,140
"Southeastern Services, Inc.",8,2
"Zito West Holding, LLC",267214,267214
"Zito West Holding, LLC",135039,135039
Hawkeye Topco Holdings LLC,33323,1255
Hawkeye Topco Holdings LLC,96273,15439
Hawkeye Topco Holdings LLC,121,20
"TerraNovaNet, Inc.",14876,2584
"Puerto Rico Telephone Company, Inc.",778532,85
"Puerto Rico Telephone Company, Inc.",624747,14
"American Samoa Telecom, LLC",5821,5821
"American Samoa Telecom, LLC",2464,2464
"American Samoa Telecom, LLC",7154,7154
Atkins Telephone Company,1978,1978
CMS Internet LLC,15508,15508
CMS Internet LLC,22827,22827
CMS Internet LLC,26139,26139
Fishers Island Telephone Corporation,658,658
Fishers Island Telephone Corporation,352,352
"GMN Tri-County CAC, Inc.",0,1
"GMN Tri-County CAC, Inc.",8740,8740
Harlan Municipal Utilities,4,0
Harlan Municipal Utilities,2253,538
"FIF St. George, LLC",6874,18064
"FIF St. George, LLC",6545,6545
"FIF St. George, LLC",128167,128167
"FIF St. George, LLC",13385,13385
Jackson Energy Authority,40390,40390
Monmouth Independence Network,16541,16541
Monmouth Internet Corporation,0,1
Monmouth Internet Corporation,0,1115
"Newmax, LLC",514,514
"Newmax, LLC",5621,5426
"Newmax, LLC",82105,82107
"Newmax, LLC",90454,90454
City of Auburn,12241,12241
City of Cartersville,0,438
"City of Elberton, Georgia",6226,6226
"City of Elberton, Georgia",3516,3516
City of LaGrange,0,1357
"Home Town Cable TV, LLC",53,111
"Home Town Cable TV, LLC",10126,202
"Rapid Systems, Inc.",633847,140103
"Com Net, Inc.",0,48
"Web Fire Communications, Inc.",0,243
"Web Fire Communications, Inc.",24459,24459
101Netlink,92171,92171
"1stel, Inc.",58620,58620
Adams CATV Inc.,31644,31644
Adams CATV Inc.,14486,14486
"Aeneas Communications, LLC",79807,79807
"City of Albany, Georgia",350,973
America Internet & Communications,138,5
Beaver Valley Cable Company,1819,1819
Beaver Valley Cable Company,519,519
"Bee Line, Inc.",18450,18450
"Bluebird Wireless Broadband Services, LLC",0,4
"Bluebird Wireless Broadband Services, LLC",1630,1795
"Board of Water, Light & Sinking Fund Commissioners of the City of Dalton, GA",33362,33362
"Boycom Cablevision, Inc.",2556,170
"Boycom Cablevision, Inc.",2788,96
"Boycom Cablevision, Inc.",76,2
Cable Co-Op,2950,462
Cable Co-Op,465,13
Catalina Broadband Solutions LLC,1644,1644
Catalina Broadband Solutions LLC,648,648
City of Bellevue,1021,388
City of Coffeyville,253,253
City of Coffeyville,94,94
City of Glenwood Springs,6070,6070
City of Hawarden,1236,374
City of Hawarden,4,27
City of Holyoke Gas & Electric Department,23,310
City of Williamstown,1764,1764
City of Williamstown,778,499
Cloud Alliance LLC,2980,2965
Coldwater Board of Public Utilities,7419,7419
Coldwater Board of Public Utilities,6221,6221
Community Cable Television Agency of O'Brien County,569,108
Community Cable Television Agency of O'Brien County,3073,929
Community Cable Television Agency of O'Brien County,1221,644
Community Telecom Services,4211,0
Community Telecom Services,195,92
"Computer Dynamics of NW Illinois, LLC",45778,45778
ConnectTo Communications Inc.,176854,5980
ConnectTo Communications Inc.,3478,1015
ConnectTo Communications Inc.,17532,0
"DigitalPath, Inc.",151137,151137
"DigitalPath, Inc.",307790,307790
"DigitalPath, Inc.",121731,121731
Douglas Electric Cooperative Inc.,2,2
Douglas Electric Cooperative Inc.,68043,77063
Easton Utilities Commission,11989,11989
Easton Utilities Commission,3487,3487
"Electric Power Board of Chattanooga, Tennessee",192128,192128
"e-Polk, Inc.",9267,4529
"e-Polk, Inc.",46,0
"FastTrack Communications, Inc.",0,27
"FastTrack Communications, Inc.",14,890
"Fisher Wireless Services, Inc.",68,68
"Fulair, LLC",12069,11831
"Fulair, LLC",9428,9427
"Geneva On-Line, Inc.",161,62
"Geneva On-Line, Inc.",2380,1048
Golden Rain Foundation,21400,0
Grundy Center Municipal Light & Power,1241,193
Haefele TV Inc.,4493,4493
Haefele TV Inc.,10634,10634
"Harlan Community Television, Inc.",9624,3087
"Harlan Community Television, Inc.",9624,3087
Henderson Municipal Power & Light,12945,12945
"Electric Plant Board of the City of Hopkinsville, Kentucky",34068,4618
"Electric Plant Board of the City of Hopkinsville, Kentucky",1034,19
Hudson Valley Wireless,245327,245278
"JB-Nets, LLC",1721,1721
"JB-Nets, LLC",15664,15664
"Joink, LLC",47124,47124
"Joink, LLC",7940,7940
"Joink, LLC",13236,13236
Lafayette City Parish Consolidated Government,91123,22614
Lenox Municipal Utilities,751,751
InstarAGF,90,1797
"Hilliary Communications, LLC",4763,4763
"Hilliary Communications, LLC",4155,4155
"Hilliary Communications, LLC",28158,28158
"Hilliary Communications, LLC",98451,98451
"Mercury Broadband, LLC",12097,1701
"Mercury Broadband, LLC",928874,201256
Minnesota Valley Television Improvement Corporation,18150,18150
Minnesota Valley Television Improvement Corporation,3803,3803
Minnesota Valley Television Improvement Corporation,9005,9005
Foremost Telecommunications Corporation,0,18
Foremost Telecommunications Corporation,0,600137
Nittany Media Inc.,1988,1988
Oak Run Associates Ltd.,4541,21
"Optivon, LLC",0,11
"Optivon, LLC",0,4
"Optivon, LLC",0,427
"Optivon, LLC",0,432
"OTZ Telephone Cooperative, Inc.",2824,2824
Owensboro Municipal Utilities,16925,26370
Pacific Data Systems,8148,1749
Pacific Data Systems,1749,1749
Pacific Data Systems,37408,0
"Peerless Network Holdings, Inc.",0,211
"Peerless Network Holdings, Inc.",0,42
"Peerless Network Holdings, Inc.",0,106
Public Utility District No. 1 of Douglas County,18051,18051
Public Utility District No. 1 of Douglas County,231,231
Pulaski Electric System,9238,9238
"Quantum Telecommunications, Inc.",4039,8267
"Quantum Telecommunications, Inc.",5251,5251
Cable TV of East Alabama,47193,47193
Cable TV of East Alabama,2827,2827
Razzolink Inc.,256966,256966
"RB3, LLC",10895,10895
"RB3, LLC",202,202
"RB3, LLC",8216,8216
Rebeltec Communications LLC,248,248
Rebeltec Communications LLC,13034,12850
Savage Communications Inc.,15699,15699
Savage Communications Inc.,16159,16159
"Southern Ohio Communication Services, Inc.",5294,5294
"Southern Ohio Communication Services, Inc.",766,766
"Southern Ohio Communication Services, Inc.",16949,16949
Southern Tier Wireless,4053,4052
Southern Tier Wireless,51689,51689
"Eagle Internet Services, LLC",100,100
"Syringa Networks, LLC",0,197841
"Tel-Star Cablevision, Inc.",3993,0
"Tel-Star Cablevision, Inc.",2550,0
The Utilities Board of the City of Sylacauga,6218,1868
"Troy Cablevision, Inc.",205,205
"Troy Cablevision, Inc.",5649,5649
Westfield Gas & Electric,32620,32620
Westgate Communications LLC,114,12
"IdeaTek Telcom, LLC",49,2
"IdeaTek Telcom, LLC",123991,123980
"IdeaTek Telcom, LLC",58432,58432
"Sonic Telecom, LLC",634396,641827
"San Carlos Apache Telecommunications Utility, Inc.",1124,1124
"San Carlos Apache Telecommunications Utility, Inc.",1312,1312
"San Carlos Apache Telecommunications Utility, Inc.",310,310
Barbourville Utility Commission,4256,4256
City Utilities of Springfield,0,118302
"Citynet, LLC",20438,52492
4 SIWI LLC,3167,3167
4 SIWI LLC,19702,19702
Allo Communications LLC,558165,558165
"Cyber Mesa Computer Systems, Inc.",4,33
"Cyber Mesa Computer Systems, Inc.",112,7
"Cyber Mesa Computer Systems, Inc.",1156,320
"Atlantech Online, Inc.",0,4430
"Atlantech Online, Inc.",0,69
"Blip Networks, LLC",3084,3084
"Blip Networks, LLC",8203,8203
"BendTel, Inc.",2713,2713
Cogent Communications Group,0,18108
"Express Dial Internet, Inc.",1603,1456
"Express Dial Internet, Inc.",5000,4981
"Raw Bandwidth Communications, Inc.",1310,1310
"Orcas Online, Inc.",1,1
"Orcas Online, Inc.",858,858
3 Rooms Communications LLC,2628,2628
3 Rooms Communications LLC,102233,102233
"Cherry Capital Connection, LLC",30,30
"Cherry Capital Connection, LLC",3783,3798
"Cherry Capital Connection, LLC",238,238
City of Wilson,33732,33732
Imagine Networks,9,0
Imagine Networks,1843,0
Imagine Networks,1017,0
"JCMM Ventures, LLC",205,205
"Pavlov Media, Inc.",136319,209139
Traer Municipal Utilities,8,13
Traer Municipal Utilities,70,1
Wintek Corporation,20043,20043
Richmond Telephone Company LLC,12,0
Richmond Telephone Company LLC,870,56
C&W Communications,362,340
C&W Communications,0,2
C&W Communications,35366,3281
Xchange Telecom Corp.,408,408
Xchange Telecom Corp.,131491,131491
LVWifi.com,291,291
PTI Pacifica Inc.,10856,10856
PTI Pacifica Inc.,2098,3784
PTI Pacifica Inc.,35710,35710
"Allied Telecom Group, LLC",0,3454
"Allied Telecom Group, LLC",0,689
"Allied Telecom Group, LLC",0,5528
"Allied Telecom Group, LLC",0,18
BreezeAir Networks LLC,754,0
BreezeAir Networks LLC,1483,1483
Bayou Cable Inc.,3161,3161
"CellTex Networks, LLC",47324,47324
City of Morganton,6957,1088
City of Morganton,220,364
"Fourway Computer Products, Inc.",135,135
"Fourway Computer Products, Inc.",3185,3185
"Fourway Computer Products, Inc.",980,980
Full Service Network LP,0,292
"IsoFusion, Inc.",90502,90502
NTInet Inc.,1265,280
"Netwurx, LLC",202,205
"Netwurx, LLC",17413,5244
"Netwurx, LLC",7868,1833
"QCOL, Inc.",15495,15495
Rocky Ridge Wireless,727,35
Seimitsu Corporation,3151,3151
City of Valparaiso,1736,12
Vogtmann Engineering Inc.,2083,67
Vogtmann Engineering Inc.,776,1
Mountain West Technologies Corporation,1771,1771
Mountain West Technologies Corporation,89131,89131
Mountain West Technologies Corporation,12274,12274
Crystal Broadband Networks,2562,2562
Crystal Broadband Networks,5764,5764
Blue Mountain Networks LLC,1649,1649
Blue Mountain Networks LLC,13857,13857
Blue Mountain Networks LLC,26212,26212
Blue Mountain Networks LLC,63304,60775
City of Chanute Kansas,3574,449
"Computer Office Solutions, Inc./Negia, Inc.",0,43457
"Cyberdyne Networks, Inc.",17188,17188
"Ind. Co. Cable TV, Inc.",7806,7806
"Ind. Co. Cable TV, Inc.",3672,3672
Intermart Inc.,260014,260014
"Konceptio Data Services, LLC",1791,1791
"Konceptio Data Services, LLC",39895,39943
"Rebus Communications, LLC",6244,6244
Southeast Colorado Power Association,21630,21630
Southeast Colorado Power Association,55861,55861
Southeast Colorado Power Association,69174,69174
"USFon, Inc.",32,0
"USFon, Inc.",0,1
"USFon, Inc.",0,1
Utah Telecommunication Open Infrastructure Agency,287682,287682
"Xclutel, LLC",0,28
"Xclutel, LLC",0,182
"Xclutel, LLC",0,1
"Hillbilly Wireless Internet, Inc.",2316,2316
"Hillbilly Wireless Internet, Inc.",22281,22281
"Hillbilly Wireless Internet, Inc.",9221,0
"BalsamWest FiberNET, LLC",2984,1367
"BalsamWest FiberNET, LLC",2136,520
"BalsamWest FiberNET, LLC",631,55
Bolt Internet Inc.,66279,66279
Bolt Internet Inc.,36161,36161
Bryan Municipal Utilties,0,5141
"CalNeva Broadband, LLC",7693,7693
Chaparral Holding Corporation,8703,6529
Chaparral Holding Corporation,507,344
Chaparral Holding Corporation,311341,75899
CND Acquisition Corp.,6434,5894
CND Acquisition Corp.,2982,1189
"Community Antenna System, Inc.",1292,474
Davis Communications Inc.,5219,593
DayStarr LLC,13174,13174
"Fast-Air Internet, Inc.",4522,4192
Fort Pierce Utilities Authority,1833,1871
Frank Howard TV Cable Inc.,3718,3718
Google LLC,2328793,197081
Google LLC,166728,32723
Highland Communication Services,5218,5218
"Hughes Computer Services, Inc.",313,0
LTD Broadband LLC,22454,5260
LTD Broadband LLC,818275,818275
Mid-Hudson Cablevision,38812,38811
Mid-Hudson Cablevision,26962,26962
Mid-Hudson Cablevision,427,0
Montana Opticom LLC,35855,35855
"Mountain Communications, LLC",4980,4980
Murray Electric System,7664,7664
Murray Electric System,3086,4570
Nelson County Cablevision Corp.,3779,3779
"Nelsonville TV Cable, Inc.",12732,12732
"Neu Ventures, Inc.",4712,4712
"Neu Ventures, Inc.",9302,9302
Reinbeck Municipal Telecommunications Utility,1120,206
Reinbeck Municipal Telecommunications Utility,1257,350
Scottsboro Electric Power Board,7422,7422
Scottsboro Electric Power Board,7422,7422
"Stowe Communications, LLC",3754,3754
"Stowe Communications, LLC",4322,4322
Jefferson County Cable,13810,13810
Jefferson County Cable,1752,1752
Montana Internet Corporation,1467,1467
Montana Internet Corporation,19718,19718
Montana Internet Corporation,33240,33240
"Public Utility District of Grant County, Washington",41708,8777
Transtelco Holding,0,182
Transtelco Holding,0,6
"360 Communications, LLC (OR & WA)",20703,20703
"Arbuckle Communications, LLC",1529,1529
"Arbuckle Communications, LLC",4000,4000
"Arbuckle Communications, LLC",45675,45675
City of Lebanon Utilities,0,6
City of Lebanon Utilities,10892,10892
"Collins Communications, LLC",30974,30974
"Lobo Internet Services, Ltd.",429622,429622
"Ridgetop Networks, LLC",1,1
"Ridgetop Networks, LLC",1475,1475
Satellite Operations Inc.,119,119
Satellite Operations Inc.,2385,2385
Servpac Inc.,0,778
Servpac Inc.,0,4613
Servpac Inc.,0,2
"Urban Communications, Inc.",3386,1817
"Wireless Data Net, LLC",252,252
"Wireless Data Net, LLC",5901,5901
"Wireless Data Net, LLC",4441,4441
Wyoming.Com,631,631
Wyoming.Com,37120,37028
Wyoming.Com,5030,5005
Resonance Broadband LLC,4001,4001
Rural Farm Networks LLC,282,0
"Farmers Telecommunications Cooperative, Inc.",42915,42915
Bertram Communications LLC,3025,3025
Bertram Communications LLC,738992,738992
Bertram Communications LLC,107743,107743
City of Burbank/Burbank Water and Power,0,882
Columbia Power and Water Systems,20900,1443
Columbia Power and Water Systems,2271,0
"MiFiber Holding, LLC",2243,2243
"MiFiber Holding, LLC",4732,4732
"MiFiber Holding, LLC",270088,270088
Digi Comm Enterprises LLC,38250,38250
District of Columbia Government/Office of the Chief Technology Officer,0,456
"G5 Internet, LLC",22,22
"G5 Internet, LLC",2683,2683
Broadband on Demand LLC,44693,44693
Roller Network LLC,0,52
Roller Network LLC,0,4
Roller Network LLC,0,4
SMR Communications,945,945
SMR Communications,84,84
Spry Wireless Communications Inc.,23159,23159
Succeed.Net,3332,0
Succeed.Net,297297,297297
Total Highspeed LLC,15246,15246
Total Highspeed LLC,406260,406260
WVVA.net Inc.,4402,1388
WVVA.net Inc.,15422,4342
WVVA.net Inc.,3689,840
"SnowCloud Services, LLC",6235,6235
Spanish Fork City,14407,14407
Spanish Fork City,14407,14407
Warm Springs Telecommunications Company,1136,1136
1 Point Communications,16,13
1 Point Communications,26,1
"Alyrica Networks, Inc.",286,14
"Alyrica Networks, Inc.",2256,1911
"Alyrica Networks, Inc.",5269,5269
"Alyrica Networks, Inc.",248147,248147
"Alyrica Networks, Inc.",81484,81484
Aristotle Unified Communications Inc.,4545,4545
Aristotle Unified Communications Inc.,19207,19207
Aristotle Unified Communications Inc.,50482,50482
Bowling Green Municipal Utilities,0,2780
